Club Speed (mph),Attack Angle (deg),Club Path (deg),Club Face (deg),Face to Path (deg),Ball Speed (mph),Smash Factor,Launch Angle (deg),Launch Direction (deg),Backspin (rpm),Sidespin (rpm),Spin Rate (rpm),Spin Rate Type,Spin Axis (deg),Apex Height (ft),Total Distance (yards),Total Deviation Angle (deg),Total Deviation Distance (yards),Air Density (g/L),Temperature (F),Air Pressure (kPA),Carry Distance (yards),Carry Deviation Angle (deg),Carry Deviation Distance (yards)
,,,,,116.9470266,-52.27999878,6.619999886,-12.68999958,1661.260498,910.2672119,1894.300049,Measured,-28.71999931,10.85957986,193.5695538,-17.57999992,-58.4755044,0.9508776,69.692,80.74,106.6601037,-16.12000084,-29.61504804
,,,,,124.2618093,-55.54999924,9.43999958,-8.130000114,1370.582153,-673.8157959,1527.26001,Measured,26.18000031,22.24409518,230.4899328,-3.529999971,-14.2060365,0.9508776,69.692,80.74,145.7130419,-4.789999962,-12.17191614
,,,,,124.8434175,-55.81000137,11.59000015,-6.659999847,2317.87915,79.72702789,2319.25,Measured,-1.970000029,42.48687601,222.8565166,-7.329999924,-28.44488214,0.9508776,69.692,80.74,185.444015,-7.28000021,-23.51268591
85.58518253,1.34,-1.62,1.26,2.88,118.4234042,1.383690503,15.76000023,0.829999983,1921.106689,-220.2411499,1933.689941,Measured,6.539999962,54.6916013,213.3311541,2.480000019,9.241032162,0.9508776,69.692,80.74,185.2690329,2.299999952,7.436570637
91.42358626,-0.92,0.92,-6.22,-7.14,125.4473914,1.37215566,10.5,-4.989999771,2467.751465,-412.0744629,2501.919922,Measured,9.479999542,38.28740183,222.7143415,-2.339999914,-9.098862308,0.9508776,69.692,80.74,181.1570362,-2.789999962,-8.814523644
61.73944166,,8.61,3.14,-5.47,106.1426288,1.719202926,10.68999958,3.650000095,317.3102417,1311.602905,1349.439941,Measured,-76.40000153,13.15616873,173.8079535,-3.200000048,-9.711286214,0.9508776,69.692,80.74,87.24846761,-0.920000017,-1.399824991
93.66052255,-3.04,-1.19,-6.19,-5.0,131.4871125,1.40386909,5.460000038,-5.239999771,3040.270508,-575.0147095,3094.169922,Measured,10.71000004,20.30839914,231.4632479,-1.940000057,-7.819335187,0.9508776,69.692,80.74,164.5888014,-2.710000038,-7.786526559
89.61166786,-3.92,-2.16,-12.86,-10.7,120.0340011,1.33949076,1.850000024,-10.82999992,2335.323486,-485.3227539,2385.219971,Measured,11.73999977,1.640419948,188.9982582,-9.199999809,-30.20560022,0.9508776,69.692,80.74,65.44181994,-9.850000381,-11.19859992
92.16177523,1.34,1.08,0.89,-0.19,133.3885135,1.447330123,11.52000046,0.870000005,1614.115967,531.9433594,1699.51001,Measured,-18.23999977,40.74803175,248.5892362,-3.210000038,-13.91076145,0.9508776,69.692,80.74,195.0240615,-2.49000001,-8.464566679
92.3630995,-1.89,-3.55,-2.67,0.88,132.2700453,1.432065901,12.51000023,-2.640000105,3018.20874,-602.0020142,3077.659912,Measured,11.27999973,62.53280665,236.4173148,1.299999952,5.358705266,0.9508776,69.692,80.74,212.8608917,0.930000007,3.455818117
93.3249821,-0.61,-2.34,-3.51,-1.17,130.7712936,1.401246383,13.97000027,-3.170000076,3605.103027,-854.2035522,3704.919922,Measured,13.32999992,74.73753506,231.6819839,2.039999962,8.245844228,0.9508776,69.692,80.74,212.1937869,1.629999995,6.025809524
95.18163923,-1.79,-3.65,4.45,8.1,134.3951365,1.411985942,12.02000046,3.200000048,5549.439941,-1985.894409,5894.069824,Measured,19.69000053,76.08267892,219.6740979,13.01000023,49.44225622,0.9508776,69.692,80.74,205.2930897,12.46000004,44.30227288
94.86846815,-0.47,-2.6,-2.79,-0.19,137.6386873,1.450837038,11.5,-2.619999886,2523.187744,-21.5791111,2523.280029,Measured,0.49000001,57.44750731,251.2357784,-2.529999971,-11.07830284,0.9508776,69.692,80.74,223.0643058,-2.549999952,-9.940945049
97.3067287,-1.56,-2.99,-3.46,-0.47,141.6651795,1.455862111,8.68999958,-3.220000029,3159.299316,-378.4014282,3181.879883,Measured,6.829999924,49.9671901,250.6452345,-0.810000002,-3.543307097,0.9508776,69.692,80.74,221.5551141,-1.080000043,-4.166666604
94.28686471,-2.4,-3.72,-7.65,-3.93,131.2410482,1.391933527,3.5,-6.75,3372.785645,763.8023071,3458.189941,Measured,-12.76000023,12.33595797,217.268152,-10.68000031,-40.27777978,0.9508776,69.692,80.74,145.9208144,-9.720000267,-24.62817198
